
[Name]
U Y0 ALL X

[Data]
X [ m ], Y [ m ], Z [ m ], Temperature [ K ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
-1.49999997e-002, 0.00000000e+000, 5.00000024e-004, 3.73133911e+002, 2.47171982e+002, 9.73590851e+001, 9.73590851e+001, 2.13162821e-014
-1.21212117e-002, 0.00000000e+000, 5.00000024e-004, 3.64959076e+002, 1.94012970e+002, 7.59880066e+001, 7.59880066e+001, 5.68434189e-014
-9.24242381e-003, 0.00000000e+000, 5.00000024e-004, 3.56345276e+002, 1.35762161e+002, 6.57261124e+001, 6.57261124e+001, 2.09932881e-015
-6.36363588e-003, 0.00000000e+000, 5.00000024e-004, 3.52513306e+002, 1.12594360e+002, 6.15110016e+001, 6.15110016e+001, 3.63344418e-016
-3.48484796e-003, 0.00000000e+000, 5.00000024e-004, 3.47117035e+002, 1.14708412e+002, 5.57120705e+001, 5.57120705e+001, 2.84217094e-014
-6.06060028e-004, 0.00000000e+000, 5.00000024e-004, 3.43436035e+002, 1.15316513e+002, 5.01697998e+001, 5.01697998e+001, 2.28234857e-014
2.27272790e-003, 0.00000000e+000, 5.00000024e-004, 3.40972076e+002, 1.15764221e+002, 4.54449081e+001, 4.54449081e+001, 6.45948511e-015
5.15151583e-003, 0.00000000e+000, 5.00000024e-004, 3.38168335e+002, 1.24341660e+002, 4.15579796e+001, 4.15579796e+001, -7.10542736e-015
8.03030375e-003, 0.00000000e+000, 5.00000024e-004, 3.35929779e+002, 1.19838303e+002, 3.94781761e+001, 3.94781761e+001, -1.39955356e-014
1.09090917e-002, 0.00000000e+000, 5.00000024e-004, 3.33303131e+002, 1.14382713e+002, 3.86341820e+001, 3.86341820e+001, -7.10542736e-015
1.37878796e-002, 0.00000000e+000, 5.00000024e-004, 3.30702454e+002, 1.07463135e+002, 3.83808975e+001, 3.83808975e+001, 1.42108547e-014
1.66666675e-002, 0.00000000e+000, 5.00000024e-004, 3.27943024e+002, 9.98080597e+001, 3.86678658e+001, 3.86678658e+001, 7.10542736e-015
1.95454545e-002, 0.00000000e+000, 5.00000024e-004, 3.25630524e+002, 9.07320023e+001, 3.90472412e+001, 3.90472412e+001, -3.55271368e-015
2.24242434e-002, 0.00000000e+000, 5.00000024e-004, 3.23417297e+002, 8.22284317e+001, 3.95365944e+001, 3.95365944e+001, -5.58475027e-016
2.53030322e-002, 0.00000000e+000, 5.00000024e-004, 3.21395538e+002, 7.48395844e+001, 3.95018463e+001, 3.95018463e+001, 1.77635684e-015
2.81818211e-002, 0.00000000e+000, 5.00000024e-004, 3.19406189e+002, 6.80324249e+001, 3.93061218e+001, 3.93061218e+001, 3.55271368e-015
3.10606100e-002, 0.00000000e+000, 5.00000024e-004, 3.17867676e+002, 6.22884216e+001, 3.89677734e+001, 3.89677734e+001, -1.72252408e-015
3.39393988e-002, 0.00000000e+000, 5.00000024e-004, 3.16222290e+002, 5.69294357e+001, 3.84324417e+001, 3.84324417e+001, -8.88178420e-016
3.68181877e-002, 0.00000000e+000, 5.00000024e-004, 3.15043610e+002, 5.24890594e+001, 3.79137955e+001, 3.79137955e+001, -7.10542736e-015
3.96969765e-002, 0.00000000e+000, 5.00000024e-004, 3.13936401e+002, 4.85520782e+001, 3.73070145e+001, 3.73070145e+001, -7.10542736e-015
4.25757654e-002, 0.00000000e+000, 5.00000024e-004, 3.12889160e+002, 4.49320145e+001, 3.67502708e+001, 3.67502708e+001, -1.42108547e-014
4.54545543e-002, 0.00000000e+000, 5.00000024e-004, 3.11997864e+002, 4.18886909e+001, 3.62662392e+001, 3.62662392e+001, -9.36616168e-015
4.83333431e-002, 0.00000000e+000, 5.00000024e-004, 3.11085632e+002, 3.90259171e+001, 3.57881470e+001, 3.57881470e+001, -7.10542736e-015
5.12121320e-002, 0.00000000e+000, 5.00000024e-004, 3.10337189e+002, 3.65627136e+001, 3.54123840e+001, 3.54123840e+001, -1.80829596e-016
5.40909208e-002, 0.00000000e+000, 5.00000024e-004, 3.09623108e+002, 3.43086243e+001, 3.50238380e+001, 3.50238380e+001, -1.45344787e-015
5.69697097e-002, 0.00000000e+000, 5.00000024e-004, 3.09002502e+002, 3.22558060e+001, 3.46948242e+001, 3.46948242e+001, -7.10542736e-015
5.98484986e-002, 0.00000000e+000, 5.00000024e-004, 3.08357910e+002, 3.04411983e+001, 3.43844604e+001, 3.43844604e+001, -3.55271368e-015
6.27272874e-002, 0.00000000e+000, 5.00000024e-004, 3.07743103e+002, 2.87138252e+001, 3.41092148e+001, 3.41092148e+001, 1.04970316e-015
6.56060725e-002, 0.00000000e+000, 5.00000024e-004, 3.07228516e+002, 2.72002640e+001, 3.38809433e+001, 3.38809433e+001, 3.55271368e-015
