
[Name]
U X16 ALL Y

[Data]
X [ m ], Y [ m ], Z [ m ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
4.80000004e-002, 0.00000000e+000, 5.00000024e-004, 2.51567039e+001, 4.52634201e+001, 7.50566365e-009
4.80000004e-002, 1.66666659e-003, 5.00000024e-004, 2.50733109e+001, 4.34112206e+001, 3.11092496e-001
4.80000004e-002, 3.33333318e-003, 5.00000024e-004, 2.42088699e+001, 3.88930321e+001, 5.21396518e-001
4.80000004e-002, 4.99999989e-003, 5.00000024e-004, 2.39591370e+001, 3.43446693e+001, 7.09245324e-001
4.80000004e-002, 6.66666636e-003, 5.00000024e-004, 2.96674614e+001, 2.96652966e+001, 9.97402668e-001
4.80000004e-002, 8.33333284e-003, 5.00000024e-004, 4.09597511e+001, 2.33031998e+001, 1.35673022e+000
4.80000004e-002, 9.99999978e-003, 5.00000024e-004, 5.19401703e+001, 1.56563597e+001, 1.49095821e+000
4.80000004e-002, 1.16666667e-002, 5.00000024e-004, 5.18459091e+001, 8.61275673e+000, 1.22084403e+000
4.80000004e-002, 1.33333337e-002, 5.00000024e-004, 4.03936844e+001, 3.27335429e+000, 6.92657351e-001
4.80000004e-002, 1.50000006e-002, 5.00000024e-004, 1.05357208e+001, -1.83430046e-001, 2.30059173e-004
