
[Name]
U X25 ALL Y

[Data]
X [ m ], Y [ m ], Z [ m ], Temperature [ K ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
7.50000030e-002, 0.00000000e+000, 5.00000024e-004, 3.03146515e+002, 2.42800045e+001, 3.89401627e+001, 9.30225141e-009
7.50000030e-002, 1.66666659e-003, 5.00000024e-004, 3.01259430e+002, 2.46665573e+001, 3.82132072e+001, 1.55522227e-001
7.50000030e-002, 3.33333318e-003, 5.00000024e-004, 2.95876831e+002, 2.67824211e+001, 3.58797150e+001, 3.09157789e-001
7.50000030e-002, 4.99999989e-003, 5.00000024e-004, 2.89009277e+002, 3.22841492e+001, 3.20373993e+001, 4.90520656e-001
7.50000030e-002, 6.66666636e-003, 5.00000024e-004, 2.83135773e+002, 3.99202766e+001, 2.71764240e+001, 6.43073320e-001
7.50000030e-002, 8.33333284e-003, 5.00000024e-004, 2.79084839e+002, 4.47398300e+001, 2.21217308e+001, 7.09507287e-001
7.50000030e-002, 9.99999978e-003, 5.00000024e-004, 2.76673065e+002, 4.41399155e+001, 1.73831692e+001, 6.57270908e-001
7.50000030e-002, 1.16666667e-002, 5.00000024e-004, 2.75362518e+002, 3.78655434e+001, 1.33795786e+001, 4.91833180e-001
7.50000030e-002, 1.33333337e-002, 5.00000024e-004, 2.74635864e+002, 2.76497593e+001, 1.01272573e+001, 2.62096763e-001
7.50000030e-002, 1.50000006e-002, 5.00000024e-004, 2.74230469e+002, 8.11340618e+000, 6.57902527e+000, -5.13374798e-005
