Y,X,U,V,u',v',-uv,k
0.01305,-0.01305,1.9359,2.9636,1.9598,2.3661,-1.1367079,7.083004
0.01095,-0.01305,1.90005,4.4693,1.88093,2.17729,-1.4451613,6.226189
0.009,-0.01305,0.80543,4.3259,2.05779,2.12949,-1.8164478,6.568915
0.00705,-0.01305,0.138142,4.4215,2.6768,2.5573,-2.9931404,10.224659
0.00495,-0.01305,-1.35035,1.82357,3.0114,2.9158,-0.14565855,13.194951
0.003,-0.01305,-5.2102,0.43259,3.2026,1.83313,-2.7018233,10.224659
0.00195,-0.01305,-6.9788,-1.97892,3.1309,1.99087,-2.8389137,10.338901
0.00105,-0.01305,23.8044,0.46844,18.9288,10.6594,-69.68762,354.1502
0,-0.01305,92.254,-0.031548,7.1939,7.0505,-2.4790514,75.97093
-0.00105,-0.01305,25.573,-0.200282,16.7061,10.9223,61.11947,298.74283
-0.00195,-0.01305,-6.4291,1.98848,3.3938,2.21792,3.2102002,12.338136
-0.003,-0.01305,-4.3737,-0.63335,3.6567,2.08408,3.255897,13.309193
-0.00495,-0.01305,-0.61662,-2.12949,3.2743,2.30635,2.3819457,12.109652
-0.00705,-0.01305,-1.1472,-3.8718,2.9875,2.8202,5.083769,12.680862
-0.009,-0.01305,-0.3585,-3.585,3.2265,2.20836,2.8788984,11.4242
-0.01095,-0.01305,2.16773,-3.2743,3.4894,2.13427,-1.1481321,12.509499
-0.01305,-0.01305,3.2026,-2.6051,1.64432,2.4856,0.16051001,6.683157
0.01305,-0.00795,3.6328,-0.216773,1.07311,1.69212,-0.16336606,3.0102767
0.01095,-0.00795,2.20597,-0.34894,1.195,1.38381,-0.028903226,2.5076119
0.009,-0.00795,0.35372,-0.60945,0.133123,1.14959,0.020163713,2.3191126
0.00705,-0.00795,-1.78294,-0.87952,1.39576,0.956,0.14451613,2.1477496
0.00495,-0.00795,-4.3737,-1.27865,1.54394,1.14959,0.47924519,2.7760806
0.003,-0.00795,-11.0418,-3.4416,2.5095,1.6969,0.8396787,6.85452
0.00195,-0.00795,-11.9739,-3.7284,4.6844,4.2064,-9.253602,29.70292
0.00105,-0.00795,32.982,0.45888,14.9136,11.711,-82.82545,269.61112
0,-0.00795,87.713,-0.18164,4.2303,4.1825,-6.226189,26.561265
-0.00105,-0.00795,36.567,-0.26768,15.5828,13.5035,74.82851,318.73518
-0.00195,-0.00795,-12.5236,3.9196,2.7007,2.7485,8.625271,11.195716
-0.003,-0.00795,-13.9098,4.0152,2.29679,2.04584,-0.51466021,7.083004
-0.00495,-0.00795,-6.6203,1.59891,1.9837,1.35035,-0.8511029,4.3183476
-0.00705,-0.00795,-3.107,0.26529,1.34557,0.88908,-0.12395257,1.9478261
-0.009,-0.00795,-0.80304,-0.59272,1.42444,0.87474,-0.09996175,2.0906286
-0.01095,-0.00795,1.2667,-0.75046,1.41488,1.14481,-0.047067704,2.4847635
-0.01305,-0.00795,4.2303,-0.229201,1.3623,1.59891,-0.38499554,3.3073059
0.01305,-0.003,2.4856,-2.7485,2.33742,2.09364,-3.6957287,7.368609
0.01095,-0.003,1.50809,-4.063,1.04682,1.88571,0.21363254,3.484381
0.009,-0.003,-1.52721,-9.2015,2.5573,2.4378,-2.456203,9.424965
0.00705,-0.003,-1.41727,-9.2971,3.8479,2.19402,5.2722683,14.737218
0.00495,-0.003,-6.1423,-6.7637,3.2026,3.1309,1.4565855,15.079944
0.003,-0.003,-13.5274,-4.8756,3.0353,3.3938,-2.7189596,15.479791
0.00195,-0.003,11.9739,2.7963,10.8745,9.2493,-57.69221,153.08428
0.00105,-0.003,42.542,1.02531,17.8533,13.145,-112.52837,369.00166
0,-0.003,83.65,0.028202,7.9348,7.3612,-3.1587913,87.96634
-0.00105,-0.003,40.63,-0.99185,16.5866,12.2368,102.24659,318.73518
-0.00195,-0.003,10.4443,-3.6328,10.1814,8.2933,45.068469,129.09346
-0.003,-0.003,-8.365,4.8756,4.9473,4.8278,2.8446258,35.814867
-0.00495,-0.003,-13.0733,6.5008,2.26094,3.4177,-0.6626036,12.623741
-0.00705,-0.003,-6.0467,9.0581,2.11993,3.8001,4.0784394,14.166008
-0.009,-0.003,-1.88571,9.2493,2.12232,3.0114,-3.7414255,10.110417
-0.01095,-0.003,1.95502,3.8718,1.91439,1.89766,-2.28484,5.4493434
-0.01305,-0.003,2.39,2.4617,2.6529,2.06974,-0.51580263,8.511029
0.01305,0,-0.55209,-6.0945,2.03389,2.6529,-3.2387607,8.339666
0.01095,0,-2.25138,-6.1901,2.33503,2.9158,-3.3644269,10.396022
0.009,0,-6.1184,-9.7751,2.16056,2.5334,-1.6907816,8.282545
0.00705,0,-9.6556,-9.1059,1.96697,2.12949,1.1595563,6.28331
0.00495,0,-8.6757,-6.2379,3.6806,4.1825,-2.3134005,23.305368
0.003,0,6.2379,-2.25138,10.2292,8.8908,-65.68915,137.66161
0.00195,0,30.114,-1.45551,14.579,12.189,-116.52684,270.75354
0.00105,0,40.869,-1.03009,17.3753,12.6192,-93.10723,345.58205
0,0,80.543,0.078392,9.2254,8.9147,-6.340431,123.38136
-0.00105,0,42.781,1.47224,16.8495,12.667,89.67997,333.58664
-0.00195,0,31.309,2.33981,13.1211,12.4997,107.95869,246.76272
-0.003,0,5.019,2.02433,9.2493,8.0065,51.4089,111.95716
-0.00495,0,-8.7952,7.2656,2.8202,3.3699,0.35015173,14.451613
-0.00705,0,-6.9071,9.7512,1.85464,1.77816,0.1942114,4.9523907
-0.009,0,-3.4177,9.6317,1.9837,2.5573,2.5361724,7.825577
-0.01095,0,-1.4818,7.5285,2.18685,2.9636,4.0098942,10.167538
-0.01305,0,-0.80065,6.0467,2.15339,3.0592,3.9185006,10.453143
0.01305,0.0081,3.6567,-17.0168,0.64052,0.59511,-0.13023588,0.57121
0.01095,0.0081,4.0391,-15.3677,0.74807,0.8126,-0.14337371,0.913936
0.009,0.0081,4.1825,-13.0733,0.97512,1.13764,-0.07368609,1.6793574
0.00705,0.0081,4.5171,-10.5877,2.8441,3.8957,-2.1077649,17.479026
0.00495,0.0081,5.736,-7.8392,7.3612,7.1939,-9.881933,79.39819
0.003,0.0081,20.6974,-5.3058,13.0494,11.4959,-70.83004,226.77037
0.00195,0.0081,46.605,4.0869,14.0054,11.8544,-123.38136,252.47482
0.00105,0.0081,61.184,5.5687,12.5475,11.8066,-63.97552,222.20069
0,0.0081,64.052,-0.038001,11.2569,10.9223,-9.539207,184.50083
-0.00105,0.0081,56.165,-7.3851,11.7588,11.0179,57.69221,194.78261
-0.00195,0.0081,44.454,-3.7523,12.4041,11.3525,114.81321,212.49012
-0.003,0.0081,21.2471,6.0228,11.9022,11.4959,63.97552,205.6356
-0.00495,0.0081,5.6882,7.2417,7.0983,7.6719,8.453908,81.68303
-0.00705,0.0081,4.6605,9.082,2.5334,3.4894,1.4565855,13.994645
-0.009,0.0081,4.5888,12.6431,1.12808,1.2189,0.21477496,2.0677802
-0.01095,0.0081,4.4932,15.057,0.89147,0.92015,0.36614561,1.2281015
-0.01305,0.0081,4.1586,16.73,0.61901,0.61184,0.14451613,0.56835395
0.01305,0.015,10.1336,-24.378,1.78533,1.35274,-0.07768456,3.7642739
0.01095,0.015,13.2406,-19.2156,1.45073,1.41249,-0.7025883,3.0731098
0.009,0.015,17.9728,-19.0244,1.99565,2.16056,-1.0795869,6.511794
0.00705,0.015,21.7251,-15.8696,3.7045,6.1662,-13.766161,38.785159
0.00495,0.015,20.1716,-6.8832,8.1499,8.0304,-55.807217,98.24812
0.003,0.015,31.309,2.6051,12.0934,11.1374,-98.24812,202.77955
0.00195,0.015,50.668,3.6089,12.9777,11.8305,-61.11947,231.34005
0.00105,0.015,56.404,2.10081,12.2607,11.4481,-13.880403,210.77649
0,0.015,58.077,-0.30114,11.4003,11.0896,-3.6843045,189.64172
-0.00105,0.015,54.253,-3.0592,11.3764,10.9223,14.451613,186.21446
