
[Name]
U X087 ALL Y

[Data]
Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
1.89293869e+002, 8.04356155e+001, 6.67910212e-014
7.83278885e+001, 2.06327286e+001, -2.06154490e+000
1.94576454e+001, -7.17754936e+000, -5.76689529e+000
1.08894958e+001, -7.55316639e+000, -2.92404556e+000
6.40219021e+000, -4.46509981e+000, 2.31206432e-001
3.72477031e+000, -1.75967169e+000, 2.03056788e+000
2.89894509e+000, 3.83223221e-002, 2.71420121e+000
2.70315862e+000, 1.76854110e+000, 2.92653084e+000
2.93232274e+000, 3.49938893e+000, 1.91428709e+000
1.86368501e+000, 4.01657104e+000, 3.52434032e-002
