
[Name]
U X25 ALL Y 1

[Data]
Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
1.67627144e+001, 4.01076813e+001, 9.05752096e-009
1.77477798e+001, 3.89398117e+001, 1.48304135e-001
2.02039871e+001, 3.59964828e+001, 2.49166906e-001
2.35924568e+001, 3.19473286e+001, 3.49630535e-001
2.77568970e+001, 2.73429279e+001, 4.59836781e-001
3.10864506e+001, 2.25224838e+001, 5.43160319e-001
3.20244141e+001, 1.77937622e+001, 5.47396719e-001
2.90414181e+001, 1.35702496e+001, 4.34941888e-001
2.30479927e+001, 1.00918951e+001, 2.33808115e-001
8.00099277e+000, 6.73494339e+000, 4.02087020e-003
