
[Name]
U X40 ALL Y

[Data]
Temperature [ K ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
2.98118195e+002, 1.68229733e+001, 3.42497330e+001, 6.02869221e-009
2.96901978e+002, 1.87706947e+001, 3.35156441e+001, 1.13478780e-001
2.94110168e+002, 2.33272495e+001, 3.16917343e+001, 2.24550337e-001
2.90624451e+002, 2.82440948e+001, 2.91353188e+001, 3.11415106e-001
2.87207520e+002, 3.16207733e+001, 2.62717247e+001, 3.65876049e-001
2.84239014e+002, 3.23361206e+001, 2.33611698e+001, 3.75983953e-001
2.81807190e+002, 3.04930305e+001, 2.05725670e+001, 3.36464822e-001
2.79909790e+002, 2.60951576e+001, 1.80002632e+001, 2.53704339e-001
2.78584717e+002, 1.96845589e+001, 1.57352839e+001, 1.41147420e-001
2.77552124e+002, 7.55185604e+000, 1.14113007e+001, 1.91294064e-003
