[Name],,,[Name],,,,
U Y0 ALL X,,,U Y0 ALL X,,,,
,,,,,,,
[Data],,,[Data],,,,
X [ m ], Y [ m ], Z [ m ],Temperature [ K ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
-1.50E-02,0.00E+00,5.00E-04,3.73E+02,2.47E+02,9.74E+01,9.74E+01,4.55E-13
-1.21E-02,0.00E+00,5.00E-04,3.66E+02,2.05E+02,7.74E+01,7.74E+01,3.88E-14
-9.24E-03,0.00E+00,5.00E-04,3.56E+02,1.42E+02,6.55E+01,6.55E+01,7.11E-15
-6.36E-03,0.00E+00,5.00E-04,3.48E+02,1.16E+02,5.85E+01,5.85E+01,4.04E-15
-3.48E-03,0.00E+00,5.00E-04,3.45E+02,9.83E+01,5.44E+01,5.44E+01,2.84E-14
-6.06E-04,0.00E+00,5.00E-04,3.42E+02,9.92E+01,5.00E+01,5.00E+01,2.84E-14
2.27E-03,0.00E+00,5.00E-04,3.38E+02,1.10E+02,4.51E+01,4.51E+01,1.13E-14
5.15E-03,0.00E+00,5.00E-04,3.36E+02,1.08E+02,4.23E+01,4.23E+01,1.42E-14
8.03E-03,0.00E+00,5.00E-04,3.34E+02,1.03E+02,4.12E+01,4.12E+01,1.42E-14
1.09E-02,0.00E+00,5.00E-04,3.31E+02,9.87E+01,4.10E+01,4.10E+01,-1.61E-16
1.38E-02,0.00E+00,5.00E-04,3.29E+02,9.35E+01,4.17E+01,4.17E+01,-7.11E-15
1.67E-02,0.00E+00,5.00E-04,3.26E+02,8.91E+01,4.28E+01,4.28E+01,-7.11E-15
1.95E-02,0.00E+00,5.00E-04,3.24E+02,8.25E+01,4.39E+01,4.39E+01,-5.17E-15
2.24E-02,0.00E+00,5.00E-04,3.22E+02,7.61E+01,4.51E+01,4.51E+01,5.06E-15
2.53E-02,0.00E+00,5.00E-04,3.19E+02,7.03E+01,4.55E+01,4.55E+01,9.26E-15
2.82E-02,0.00E+00,5.00E-04,3.17E+02,6.47E+01,4.55E+01,4.55E+01,1.42E-14
3.11E-02,0.00E+00,5.00E-04,3.16E+02,5.99E+01,4.52E+01,4.52E+01,3.39E-15
3.39E-02,0.00E+00,5.00E-04,3.14E+02,5.52E+01,4.46E+01,4.46E+01,1.78E-15
3.68E-02,0.00E+00,5.00E-04,3.13E+02,5.13E+01,4.40E+01,4.40E+01,2.22E-16
3.97E-02,0.00E+00,5.00E-04,3.12E+02,4.78E+01,4.33E+01,4.33E+01,-6.53E-16
4.26E-02,0.00E+00,5.00E-04,3.11E+02,4.45E+01,4.26E+01,4.26E+01,-3.55E-15
